sample_id,scenario,mean_off_diagonal_cross_contract_correlation,representative_contract_moneyness,representative_contract_maturity_years,representative_contract_lag1_correlation
55,persistent_factor,0.0977531570362,0,0.25,0.103015306298
56,low_iid,0.00836950320867,0,0.25,0.0803878876541
56,spatial_corr,0.206056025238,0,0.25,0.000497159559838
56,persistent_factor,0.107261015968,0,0.25,0.225083886414
57,low_iid,0.00164873072137,0,0.25,0.0137775404225
57,spatial_corr,0.230042932585,0,0.25,-0.000976494901389
57,persistent_factor,0.106777847952,0,0.25,0.156089191336
58,low_iid,-0.00200635492621,0,0.25,-0.046176464774
58,spatial_corr,0.223253864609,0,0.25,0.00402469746616
58,persistent_factor,0.0719080799156,0,0.25,0.223986900077
59,low_iid,6.65655883625e-05,0,0.25,0.0138878683038
59,spatial_corr,0.188468115103,0,0.25,0.0374188175759
59,persistent_factor,0.126300523402,0,0.25,0.214692783147
60,low_iid,0.0121331530402,0,0.25,0.0105264764876
60,spatial_corr,0.213028065563,0,0.25,0.0401675040288
60,persistent_factor,0.0866185454081,0,0.25,0.134235961491
61,low_iid,0.0020670307707,0,0.25,0.0335822526988
61,spatial_corr,0.189998906382,0,0.25,0.0565394288777
61,persistent_factor,0.115589495381,0,0.25,0.0720808650082
62,low_iid,0.00104017161304,0,0.25,0.0645870978195
62,spatial_corr,0.216730519805,0,0.25,0.00710899146761
62,persistent_factor,0.11415246091,0,0.25,0.173021162305
63,low_iid,0.00402419909971,0,0.25,0.0331711047801
63,spatial_corr,0.198288290718,0,0.25,0.0179990405079
63,persistent_factor,0.0790940337513,0,0.25,0.135951544763
64,low_iid,-0.00126805574881,0,0.25,0.00648553989615
64,spatial_corr,0.210295334335,0,0.25,0.0196740808434
64,persistent_factor,0.0943259238866,0,0.25,0.135147766964
65,low_iid,0.0181347996217,0,0.25,-0.0348910487273
65,spatial_corr,0.189568492572,0,0.25,0.0355802326126
65,persistent_factor,0.0890351220561,0,0.25,0.121258458091
66,low_iid,-0.000591532398008,0,0.25,0.0282256764655
66,spatial_corr,0.201813287833,0,0.25,-0.0265221742356
66,persistent_factor,0.0927500285927,0,0.25,0.155586530152
67,low_iid,0.00147333814482,0,0.25,-0.0313218129369
67,spatial_corr,0.187677259051,0,0.25,0.0092053481511
67,persistent_factor,0.130292509313,0,0.25,0.194726407949
68,low_iid,-0.00346319944009,0,0.25,-0.0575705753907
68,spatial_corr,0.184373795826,0,0.25,0.0166985027429
68,persistent_factor,0.09117824974,0,0.25,-0.00743058321544
69,low_iid,0.0118055453207,0,0.25,0.00667857452903
69,spatial_corr,0.193500796787,0,0.25,-0.0418544658352
69,persistent_factor,0.102795849212,0,0.25,0.211568117897
70,low_iid,0.0019978537499,0,0.25,-0.0383933901405
70,spatial_corr,0.20910973357,0,0.25,-0.0520871702824
70,persistent_factor,0.0947571826116,0,0.25,0.101336513403
71,low_iid,0.00570008343282,0,0.25,0.0494817038782
71,spatial_corr,0.206980077255,0,0.25,0.0520058765585
71,persistent_factor,0.0651299024668,0,0.25,0.07771846695
72,low_iid,0.00296546038809,0,0.25,0.0321375591353
72,spatial_corr,0.219496251011,0,0.25,-0.0518218009791
72,persistent_factor,0.0847007541811,0,0.25,0.187634102633
73,low_iid,0.00094992003173,0,0.25,-0.0170982993059
73,spatial_corr,0.198557940484,0,0.25,0.0135887859298
73,persistent_factor,0.0952986743875,0,0.25,0.192761334034
74,low_iid,0.00167716194423,0,0.25,0.00971092312453
74,spatial_corr,0.228378253909,0,0.25,-0.0382841867552
74,persistent_factor,0.0698018972141,0,0.25,0.109983990639
75,low_iid,0.00858233742472,0,0.25,0.00785351783212
75,spatial_corr,0.189240622048,0,0.25,-0.0407528359582
75,persistent_factor,0.0786340576761,0,0.25,0.0731911610064
76,low_iid,0.0010475261939,0,0.25,-0.0782601707091
76,spatial_corr,0.200069170614,0,0.25,0.0110273852746
76,persistent_factor,0.0735570512447,0,0.25,0.152068642742
