sample_id,scenario,eta,kappa,vbar,sigma_v,rho,kappa_q
40,clean,4.90018707148,6.3243479388,0.0276476246961,0.399082048938,-0.505770785616,1.9921184246
40,low_iid,4.97067712742,6.3770208669,0.025389608395,0.450179918843,-0.578009676488,1.59569005574
40,spatial_corr,5.20451632987,6.31588095735,0.0257922116851,0.454938552271,-0.480098481352,1.81016694915
40,persistent_factor,5.01124302226,6.10473249996,0.0267877416532,0.448257536174,-0.547154952673,1.98367254542
41,clean,4.99496386795,8.8404030299,0.0197393334441,0.399828281975,-0.685799669341,1.62448539501
41,low_iid,6.85409100682,7.92774544285,0.0182011708325,0.476952457839,-0.490794714548,1.50015805527
41,spatial_corr,5.5378678343,8.5938370644,0.0176800462746,0.492659043243,-0.486274042427,1.54650488307
41,persistent_factor,5.09759391179,8.48181070011,0.0189134947129,0.497062340782,-0.723534185107,1.72481935752
42,clean,2.00008483701,5.31070234359,0.0282414347497,0.359502302983,-0.621576865802,1.55158248634
42,low_iid,2.00002701086,5.85464855889,0.024026919516,0.49966409276,-0.346725869812,1.70785774144
42,spatial_corr,2.00008483701,6.35388960847,0.0229955280071,0.463561819849,-0.363384090926,1.66942288078
42,persistent_factor,2.00008483701,6.01208582426,0.0234707436706,0.487359186593,-0.423052718684,1.50012223714
43,clean,4.99880654677,6.48977714349,0.0225390482495,0.351176470988,-0.443136235413,1.50011846011
43,low_iid,5.32574755202,6.85326300236,0.0202992513244,0.398411333403,-0.633587100089,1.50012114165
43,spatial_corr,5.37172589219,6.72097254464,0.0201016447911,0.414092476057,-0.513723857587,1.50011522015
43,persistent_factor,5.26667971662,6.79703256534,0.0203804339928,0.450728289866,-0.551050387119,1.57196989955
44,clean,4.17512886495,5.72526088305,0.0255006396295,0.334769831842,-0.459178431735,1.50002214634
44,low_iid,4.73026951634,6.47821129814,0.0224206332526,0.407925501094,-0.461760799035,1.50000004352
44,spatial_corr,4.74561034008,6.37947841177,0.0223744200294,0.414446971823,-0.399540270699,1.50014118305
44,persistent_factor,4.69683963413,6.18930022335,0.0225558416035,0.418928055845,-0.339516009857,1.50013239088
45,clean,7.43809693425,8.26349943592,0.0208766756509,0.381784475033,-0.619814679929,1.51994046549
45,low_iid,7.84950112754,8.00848771177,0.0195617905023,0.492422293029,-0.547900116636,1.57917876929
45,spatial_corr,7.22850057051,8.42008457762,0.0207717450713,0.558542225405,-0.785686917639,1.86800423352
45,persistent_factor,7.97960102226,8.01823016123,0.0195537940496,0.492508933191,-0.482846334812,1.79761927051
46,clean,5.78623984931,8.04866356944,0.0201399191633,0.429526405065,-0.353287191883,1.76704646698
46,low_iid,6.71219004846,8.36482175942,0.0176884276726,0.513452892075,-0.376691345473,1.50018593775
46,spatial_corr,6.54952099367,8.41855721265,0.0181628176278,0.53187118415,-0.276937540783,2.01603977422
46,persistent_factor,6.38201031542,8.37554562299,0.0187228974099,0.537506924194,-0.267987244628,2.31495213438
47,clean,4.18611658546,8.9999681357,0.0197516717697,0.395007218783,-0.586916165295,1.50734902011
47,low_iid,4.16371714637,8.69085750148,0.0193334742168,0.502066153359,-0.63780448741,1.57949455527
47,spatial_corr,4.0918738921,8.83152420952,0.0202213039955,0.529232719906,-0.674868487295,2.14323551963
47,persistent_factor,4.14405773342,8.53180655221,0.0195656467271,0.498429362671,-0.636119839137,1.60816444143
48,clean,7.50223895775,7.70158394262,0.0177165438642,0.33340044047,-0.335478810633,1.50235071738
48,low_iid,7.99991516347,6.01518800109,0.0176721809147,0.200870260011,-0.460772157461,1.52413787577
48,spatial_corr,7.99991516467,5.90338368573,0.0184084656147,0.233664939328,-0.649331081351,1.5054999659
48,persistent_factor,7.95185342557,5.38271805972,0.0187787130825,0.202178825214,-0.540745658808,1.61978803704
49,clean,5.67183376343,5.78840581792,0.0221618053945,0.200057648402,-0.774510120157,1.50025397759
49,low_iid,6.24345804575,5.14021265962,0.0199695781236,0.221150560658,-0.799969440146,1.50879674667
49,spatial_corr,6.12876476374,5.24938320692,0.0197820894058,0.240288511517,-0.494900826748,1.50015541142
49,persistent_factor,6.18661146416,5.37703683735,0.0201009085667,0.209500384252,-0.7991112465,1.50015114358
50,clean,5.39341617817,7.98870470837,0.0201116509072,0.39189395133,-0.574332583446,1.50000999593
50,low_iid,5.45297310713,8.6181728549,0.019354359496,0.520907575156,-0.715832344898,1.93834210955
50,spatial_corr,5.86112007247,8.27641143485,0.0180402318237,0.465320341782,-0.547691194002,1.50015283912
50,persistent_factor,5.94798725797,8.99951717454,0.0177508413007,0.488274246489,-0.596723814105,1.55912955976
51,clean,5.23651862622,6.04658681123,0.0250480040885,0.357703078484,-0.58070991491,1.63336533551
51,low_iid,5.69617268158,6.97579483403,0.0213542724943,0.446807364624,-0.55683396965,1.50019840346
51,spatial_corr,5.8172858714,7.13565420522,0.0211272635718,0.450298897836,-0.545610041969,1.50019691572
51,persistent_factor,5.73667500998,6.62165835996,0.021545016761,0.451167869102,-0.494683569149,1.50002206343
52,clean,3.36076210688,5.34400425669,0.0219449228769,0.297215202371,-0.246248482396,1.50002021833
52,low_iid,3.48267578233,4.90222526664,0.020502160596,0.257344611513,-0.693055397307,1.53223393691
52,spatial_corr,3.78766991899,4.91773455422,0.0203801310069,0.219025488055,-0.487758779311,1.55993092784
52,persistent_factor,3.67878840384,4.889294121,0.0204199966387,0.257394131271,-0.676993410169,1.50012835256
53,clean,5.24597650632,7.1531228972,0.0200540553003,0.220676028529,-0.751877009159,1.69724968264
53,low_iid,6.04248082011,5.66306603407,0.0194746791346,0.251433065693,-0.500761730439,1.56941076747
53,spatial_corr,5.96740346513,6.01222340894,0.0189955117343,0.263226722067,-0.497151926314,1.69099767266
53,persistent_factor,5.76352816589,7.04047124385,0.0170337478897,0.320603816473,-0.528027744127,1.50737229532
54,clean,4.44047674523,6.55549188522,0.021963688776,0.316596214407,-0.470165882891,1.50000279238
54,low_iid,4.85581296114,6.95327826924,0.0191947273735,0.334565697448,-0.453283144941,1.50011404258
54,spatial_corr,4.65191756723,6.84715477463,0.0195251062376,0.265631126643,-0.740340703968,1.50054949267
54,persistent_factor,4.74894208253,6.44404277065,0.0198379747913,0.288901194561,-0.419974379083,1.50000017543
55,clean,2.9016995294,5.97706941573,0.0248482476785,0.384600184539,-0.477801249926,1.50000784376
55,low_iid,3.29614084991,6.2146319582,0.021601822168,0.446020141797,-0.296830462712,1.52713563845
55,spatial_corr,3.35287957148,6.25399518381,0.0215155810865,0.46644750824,-0.264429685217,1.50010882922
55,persistent_factor,3.28475567836,6.15761077913,0.0217214499669,0.437018878243,-0.354601636177,1.50017165736
56,clean,2.00008483701,5.03638604021,0.0228866873947,0.317454866539,-0.394944319676,1.52025544303
56,low_iid,2.00008483701,5.02532288194,0.020523847237,0.370618557898,-0.479860901588,1.50046278066
56,spatial_corr,2.00008483701,5.01268026406,0.0203213431466,0.347643105961,-0.464362739701,1.50506356333
