maturity,effective_width,n_cos,observation_count,invalid_price_count,invalid_iv_count,max_absolute_price_error,p99_absolute_price_error,median_absolute_price_error,max_relative_price_error,p99_relative_price_error,median_relative_price_error,max_absolute_iv_error,p99_absolute_iv_error,median_absolute_iv_error,low_vega_count,max_absolute_iv_error_above_vega_threshold,p99_absolute_iv_error_above_vega_threshold,max_vega_scaled_price_error,p99_vega_scaled_price_error,median_vega_scaled_price_error,runtime_seconds
0.08333333333333333,0.5,576,960,0,0,0.006434744611718557,0.0013947179599729331,1.576860289456367e-11,0.012744677959011689,0.0027752078180913126,1.768025530420182e-09,0.0013856361923197946,0.00029623441115318814,4.282993404380875e-11,31,0.0013856361923197946,0.00029873696102338497,0.001520581417164541,0.0003731598230059896,4.825977114620495e-11,0.025704791769385338
0.08333333333333333,0.75,576,960,0,0,8.22628452468166e-07,1.0358405138077442e-08,1.2540191107746068e-11,0.0008102917878228166,0.00016671193491536913,1.580035489776189e-10,0.00022297532106396734,2.0387691959670352e-05,5.870151587039629e-12,31,1.8075365349617956e-06,5.703705965620643e-07,0.0017682352218140976,0.00015429534828209095,6.083545114312328e-12,0.02367908274754882
0.08333333333333333,1.0,576,960,0,0,3.240822177286162e-08,5.253653708449547e-09,1.1969536473088738e-11,0.16973928965035084,0.0010606879552581127,1.085469723994927e-10,0.08782520120526548,0.0001830470215607005,4.805669751029029e-12,31,0.00031406929336414563,3.742840773772774e-06,0.07213326879308966,0.00023289076380449098,5.037154108545482e-12,0.022495457902550697
0.08333333333333333,1.25,576,960,0,0,1.2042316036575684e-06,1.0258187390550022e-07,1.2198894672188487e-11,0.5906771400776428,0.01728516007877097,1.1121173298356455e-10,0.09786323008929743,0.0003415460513272041,5.008174430720658e-12,31,0.0008085963670687937,5.3766364603204134e-05,2.958330154242143,0.000658464018738282,5.1187480041115604e-12,0.02269054064527154
0.08333333333333333,1.5,576,960,0,0,8.52164748876838e-06,1.0691420901301433e-06,1.2225317980174566e-11,15.702189563715661,0.17902152858984413,1.1822348338704185e-10,0.1051206076785555,0.05052196822337569,5.119460411151522e-12,31,0.050868848698971514,0.0008633786358345177,23.694263646424066,0.002491953992239066,5.236891070296915e-12,0.022549042012542486
0.08333333333333333,2.0,576,960,0,0,6.097079292000096e-05,7.414095809270004e-06,1.2458034603923807e-11,249.5586089229799,1.0,1.3528590324018285e-10,0.12103163930720985,0.050083831392131496,5.306088901591011e-12,31,0.12103163930720985,0.002626812035933161,33.039619559792726,0.0050164183458490915,5.396210285875605e-12,0.022938667330890894
0.08333333333333333,2.5,576,960,0,0,0.00016244899216844022,6.424606303148004e-05,1.266559079837748e-11,808.8768891719926,1.0,1.6123614233015545e-10,0.1274375455934131,0.0922137383595584,5.773256872565469e-12,31,0.1274375455934131,0.01568520194876448,318.7148181179134,0.025053533891439474,5.8377132691425225e-12,0.022930416744202375
0.08333333333333333,3.0,576,960,0,0,0.0005958226034329384,0.00017986709296731845,1.2435386054221453e-11,226.52112345789251,2.5937874279232487,2.0228725421924878e-10,0.13348425326359128,0.10107851177753274,8.414824392843911e-12,31,0.12103163930720985,0.05713583483703309,4749.019374210485,0.9466955850367453,8.452378003349464e-12,0.022793040610849857
0.08333333333333333,3.5,576,960,0,0,0.0013178801757658398,0.00042785515239809066,1.3609120991589507e-11,6394.244775495497,27.37075748146817,4.634459447433477e-10,0.1403514485560988,0.10446355209671164,1.6228685062458226e-11,31,0.12524724815752863,0.0676217446713067,11212.984303752834,1.0738081333604206,1.673347867670523e-11,0.023486541118472815
0.08333333333333333,4.0,576,960,0,0,0.0025269273247890967,0.0013309202983446558,4.240341411332338e-11,36879.48747183998,832.3348557103222,1.26273792404003e-09,0.14975934836393529,0.10077127717880274,5.037376071825861e-11,31,0.14365045697613654,0.09967384516529787,30726.96270360982,28.690762314946028,5.3134981253684986e-11,0.026328332722187042
0.08333333333333333,0.5,640,960,0,0,0.006434744611718557,0.0013947179599729331,1.5768602894140155e-11,0.012744677959011689,0.0027752078180913126,1.768025530420182e-09,0.0013856361923197946,0.00029623441115318814,4.282993404380875e-11,31,0.0013856361923197946,0.00029873696102338497,0.0015205814171640498,0.0003731598230059896,4.748380282646577e-11,0.028296458069235086
0.08333333333333333,0.75,640,960,0,0,8.22628452468166e-07,1.0358405138077442e-08,1.2393766568585818e-11,0.0006432672081160619,0.00017902164647884777,1.469715598952757e-10,0.0002240275778073314,9.922484591641085e-06,5.74695846466966e-12,31,1.8075365349617956e-06,5.829569197768341e-07,0.0015292791029654692,0.00015596727147814454,6.035816550672045e-12,0.025089083705097437
0.08333333333333333,1.0,640,960,0,0,1.6628774357485554e-08,2.077263082868075e-09,1.1969536473088738e-11,0.032070537933302,0.00044819601948058424,1.039156029008806e-10,0.08973243172700371,5.0948408262884404e-05,4.608952108853259e-12,31,5.543757141445588e-05,1.4492670121158017e-06,0.035353643599095624,0.0002070958825875519,5.026887472494567e-12,0.02398462500423193
0.08333333333333333,1.25,640,960,0,0,2.3518791025800567e-07,4.153747296290156e-08,1.1888712236896026e-11,0.8432428083425343,0.002953727908418109,1.0882455233378269e-10,0.08550432309963785,0.00018261056554036689,4.615530180274163e-12,31,0.0029013303716065864,1.2604783057069863e-05,0.05180415721898898,0.0005036023921470281,4.7605775242183536e-12,0.0243535409681499
0.08333333333333333,1.5,640,960,0,0,3.001234995636537e-06,1.2586248490209504e-07,1.1932677068671182e-11,1.0832149755269407,0.03251711536486458,1.0957015113045215e-10,0.09923874094860116,0.001317665510200701,4.974812228830672e-12,31,0.05032925216050532,0.00012364551031208504,4.536251984445185,0.001317233002269267,5.062337276980765e-12,0.02402520878240466
0.08333333333333333,2.0,640,960,0,0,3.362013045071777e-05,4.291105603659488e-06,1.226752033289813e-11,40.26066781131536,0.7194160581658711,1.2414370089800016e-10,0.10525777577289404,0.008321999865803377,5.205065545244025e-12,31,0.050868848698971514,0.004740437009253749,24.549982679527517,0.010749638313212294,5.246722177867213e-12,0.024077417328953743
