sample_id,scenario,quantity,path_average_truth,path_average_estimate,mean_error,mae,rmse,correlation
4,low_iid,erp,0.109841905446,0.157797519227,0.0479556137808,0.0481588671558,0.05979881362,0.995351859929
4,low_iid,vrp,-0.00432289115469,-0.00284473169944,0.00147815945525,0.00147815945525,0.00178283515225,0.995351859929
4,spatial_corr,erp,0.109841905446,0.156389463753,0.0465475583063,0.0469273548296,0.0577468303161,0.995233080502
4,spatial_corr,vrp,-0.00432289115469,-0.00293871092749,0.0013841802272,0.0013841802272,0.00167623609336,0.995233080502
4,persistent_factor,erp,0.109841905446,0.157986741849,0.0481448364022,0.0484653421823,0.0593910476953,0.995128803969
4,persistent_factor,vrp,-0.00432289115469,-0.0028820877677,0.00144080338699,0.00144080338699,0.00175100935613,0.995128803969
5,clean,erp,0.129636554279,0.0647595310511,-0.0648770232276,0.0648770232276,0.0750972411822,0.999996967916
5,clean,vrp,-0.00517698717803,-0.00462742835868,0.000549558819349,0.000549558819349,0.00066675110847,0.999996967916
5,low_iid,erp,0.129636554279,0.0596813592695,-0.0699551950092,0.0699551950092,0.0771075743092,0.993969226562
5,low_iid,vrp,-0.00517698717803,-0.00457116148297,0.000605825695053,0.000634698275006,0.000788659991686,0.993969226562
5,spatial_corr,erp,0.129636554279,0.0622485724373,-0.0673879818414,0.0673879818414,0.0746009036634,0.993778502109
5,spatial_corr,vrp,-0.00517698717803,-0.0047536027138,0.000423384464223,0.00055956757918,0.00067787574576,0.993778502109
5,persistent_factor,erp,0.129636554279,0.0614351588387,-0.06820139544,0.06820139544,0.0748840824459,0.994164985842
5,persistent_factor,vrp,-0.00517698717803,-0.00462404949431,0.000552937683718,0.000655920697848,0.000781613706633,0.994164985842
6,clean,erp,0.10328858931,0.0928946526155,-0.0103939366942,0.0114022966301,0.0141648868254,0.998975822445
6,clean,vrp,-0.00404012982362,-0.00498755496344,-0.000947425139823,0.000947425139823,0.000983395526401,0.998975822445
6,low_iid,erp,0.10328858931,0.0928741812676,-0.0104144080421,0.0138564570227,0.0165151777506,0.989651123338
6,low_iid,vrp,-0.00404012982362,-0.00378160759372,0.0002585222299,0.000508075750871,0.000689193787104,0.989651123338
6,spatial_corr,erp,0.10328858931,0.0904669891485,-0.0128216001613,0.0143850095335,0.0167142336019,0.989539450518
6,spatial_corr,vrp,-0.00404012982362,-0.00375497280883,0.000285157014792,0.000497500863454,0.000643642028573,0.989539450518
6,persistent_factor,erp,0.10328858931,0.0945151233933,-0.00877346591643,0.0129110552171,0.0158073847982,0.989708145973
6,persistent_factor,vrp,-0.00404012982362,-0.00376218942774,0.000277940395879,0.000506843014977,0.000663361836926,0.989708145973
7,clean,erp,0.111714957752,0.0488758225099,-0.062839135242,0.062839135242,0.0704277220649,0.999999972747
7,clean,vrp,-0.00440370928585,-0.00448841705808,-8.47077722297e-05,8.47077722297e-05,8.98190026299e-05,0.999999972747
7,low_iid,erp,0.111714957752,0.0480722268475,-0.0636427309044,0.0636427309044,0.0682618117832,0.991700930388
7,low_iid,vrp,-0.00440370928585,-0.0036396736104,0.000764035675454,0.000764273077515,0.000862605061744,0.991700930388
7,spatial_corr,erp,0.111714957752,0.046728411141,-0.0649865466109,0.0649865466109,0.0698788112071,0.991466220802
7,spatial_corr,vrp,-0.00440370928585,-0.00349442871381,0.000909280572044,0.000909280572044,0.000971302740248,0.991466220802
7,persistent_factor,erp,0.111714957752,0.0441605205179,-0.067554437234,0.067554437234,0.0726546378024,0.991352498364
7,persistent_factor,vrp,-0.00440370928585,-0.00354025479658,0.000863454489272,0.000863454489272,0.000947109449084,0.991352498364
8,clean,erp,0.11544243547,0.156878674347,0.0414362388768,0.0414362388768,0.0465870161967,0.999992456609
8,clean,vrp,-0.00456454183829,-0.00459954991544,-3.50080771463e-05,3.50080771463e-05,4.08792607227e-05,0.999992456609
8,low_iid,erp,0.11544243547,0.154421738205,0.0389793027348,0.0430686821021,0.0589633782031,0.992458709801
8,low_iid,vrp,-0.00456454183829,-0.00436924935285,0.000195292485441,0.000656834345236,0.000748748502772,0.992458709801
8,spatial_corr,erp,0.11544243547,0.155801821207,0.0403593857371,0.0446461927003,0.0600646867519,0.992258300085
8,spatial_corr,vrp,-0.00456454183829,-0.00423064441096,0.000333897427327,0.000620261337259,0.000692447301378,0.992258300085
8,persistent_factor,erp,0.11544243547,0.15476139342,0.0393189579496,0.0430673914737,0.0582978224888,0.992421734132
8,persistent_factor,vrp,-0.00456454183829,-0.00448844743634,7.60944019496e-05,0.000628659576305,0.00076329531429,0.992421734132
9,clean,erp,0.118939179806,0.109426536186,-0.00951264362006,0.00951264362006,0.0114752800241,0.999999545995
9,clean,vrp,-0.00471541874737,-0.00421072822485,0.00050469052252,0.00050469052252,0.000622628975019,0.999999545995
9,low_iid,erp,0.118939179806,0.1009382567,-0.0180009231065,0.0180009231065,0.0200139280824,0.994117923245
9,low_iid,vrp,-0.00471541874737,-0.00432442797232,0.000390990775048,0.000613057161566,0.000689181845522,0.994117923245
9,spatial_corr,erp,0.118939179806,0.101612106703,-0.0173270731031,0.0173315057053,0.0194546974191,0.993571389089
9,spatial_corr,vrp,-0.00471541874737,-0.00442523098959,0.000290187757782,0.000592665274537,0.000678368878217,0.993571389089
9,persistent_factor,erp,0.118939179806,0.102065799584,-0.0168733802225,0.0169140329637,0.0196008624694,0.993859781561
9,persistent_factor,vrp,-0.00471541874737,-0.00431400031815,0.000401418429223,0.000652359208609,0.000728727973229,0.993859781561
10,clean,erp,0.10300426802,0.0607481953703,-0.0422560726497,0.0422560726497,0.0471971497344,0.999994672278
10,clean,vrp,-0.00402786197866,-0.00478610776601,-0.000758245787352,0.000758245787352,0.000893367545262,0.999994672278
10,low_iid,erp,0.10300426802,0.0627235145827,-0.0402807534373,0.0402807534373,0.0427166879013,0.992673849935
10,low_iid,vrp,-0.00402786197866,-0.00362775955422,0.000400102424436,0.000462676947337,0.000536130305388,0.992673849935
10,spatial_corr,erp,0.10300426802,0.0610633232841,-0.041940944736,0.041940944736,0.0445337012371,0.992497541842
10,spatial_corr,vrp,-0.00402786197866,-0.00342408802665,0.000603773952011,0.000603871758995,0.000670629424547,0.992497541842
10,persistent_factor,erp,0.10300426802,0.0618422933415,-0.0411619746786,0.0411619746786,0.0432456936617,0.992690829301
10,persistent_factor,vrp,-0.00402786197866,-0.00340277849435,0.000625083484306,0.000626219167029,0.000702164110893,0.992690829301
11,clean,erp,0.114348134276,0.0771197612875,-0.0372283729886,0.0372283729886,0.0404226295414,0.999957370385
11,clean,vrp,-0.004517325123,-0.00569991249121,-0.00118258736821,0.00118258736821,0.00140447893846,0.999957370385
11,low_iid,erp,0.114348134276,0.0782752311376,-0.0360729031386,0.0360729031386,0.0369768958884,0.99178843844
11,low_iid,vrp,-0.004517325123,-0.00513164646157,-0.00061432133857,0.000903836668998,0.0014000393761,0.99178843844
11,spatial_corr,erp,0.114348134276,0.0789287888671,-0.035419345409,0.035419345409,0.036436399161,0.990290764747
11,spatial_corr,vrp,-0.004517325123,-0.00411798914112,0.000399335981882,0.000615781253376,0.00068922412527,0.990290764747
11,persistent_factor,erp,0.114348134276,0.081018952146,-0.0333291821301,0.0333291821301,0.0340460074147,0.991771998125
11,persistent_factor,vrp,-0.004517325123,-0.0050532084643,-0.000535883341297,0.000862211949248,0.00138334034284,0.991771998125
