sample_id,scenario,mean_error,mae,rmse,median_absolute_error,q95_absolute_error,correlation
19,spatial_corr,-0.0024764948385,0.00283258844525,0.00346803575362,0.00238525692233,0.00624903253834,0.993100293016
19,persistent_factor,-0.00187033102435,0.00277135221967,0.00338861078629,0.0023060665086,0.00663330969046,0.992402032595
20,clean,-0.00197890024461,0.00202865003189,0.00219562751777,0.00189032428425,0.00365034707341,0.999700737829
20,low_iid,-0.00542237265783,0.00542237265783,0.00598412900425,0.00560743262279,0.0100740835842,0.988981695409
20,spatial_corr,-0.00513975190983,0.00514239489245,0.0057987770082,0.00529640868032,0.0100349639925,0.988754660267
20,persistent_factor,-0.00450915520363,0.00451489838297,0.00522449312682,0.0045627295097,0.0100349634026,0.989240837088
21,clean,-0.000286305981641,0.000735881304515,0.00106033957662,0.000503143209163,0.00241910946786,0.999928045989
21,low_iid,-0.00156552587595,0.0019328813786,0.0023604176421,0.00188540724184,0.00446833782317,0.992073763632
21,spatial_corr,-0.00183175800708,0.0022148803908,0.00268608481197,0.00200158521013,0.00479393982305,0.991614272641
21,persistent_factor,-0.0020889747574,0.00241175162006,0.00289593001038,0.00222097687723,0.00496380088535,0.991514585362
22,clean,-0.00163798243594,0.00172878996753,0.00197253294156,0.00147524827172,0.00348525096124,0.999559660391
22,low_iid,-0.00230338413095,0.00248729932863,0.00296803600781,0.00252982202472,0.0055681223987,0.990137121052
22,spatial_corr,-0.00227402296435,0.00243626200737,0.00296441703191,0.00228548180153,0.00549468950159,0.989237583834
22,persistent_factor,-0.00178256540952,0.00204399069321,0.00254650321649,0.00176140452147,0.00522067989335,0.990084212321
23,clean,-0.00444805727596,0.00444805727596,0.00446837915562,0.00459846514655,0.00477966424486,0.999820947076
23,low_iid,-0.00706816553086,0.00706816553086,0.00745312246917,0.00730410347012,0.0107971887191,0.991522079274
23,spatial_corr,-0.0071709306518,0.0071709306518,0.00757797684431,0.00739208502236,0.0109612586878,0.99062311377
23,persistent_factor,-0.00706168202419,0.00706168202419,0.00747768932647,0.00728476010965,0.0110757000137,0.990910515522
24,clean,0.000592727166176,0.000592727166176,0.000603808416101,0.000590694940303,0.000760089823417,0.99999574791
24,low_iid,-0.00368677407186,0.00379037545502,0.0044249537586,0.00361267915756,0.00754523036893,0.990915442925
